,id,listing_url,name,host_name,host_location,host_is_superhost,host_neighborhood,host_has_profile_pic,street,neighborhood,city,suburb,state,zipcode,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,avg_rainfall
83,268849,https://www.airbnb.com/rooms/268849,"Unique, Intimately Styled South Yarra Sanctuary",Little Journey,Australia,f,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Stonnington,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83691697,144.9928537,Apartment,Entire home/apt,6,1,1,1,Real Bed,115,1150,3850,150,2,35,1,1120,532
86,283257,https://www.airbnb.com/rooms/283257,sunlit studio down a quiet laneway,Lulu,"Fitzroy, Victoria, Australia",t,Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80440177,144.9821314,House,Entire home/apt,6,2,3,4,Real Bed,140,908,3632,350,2,30,3,59,575
87,284210,https://www.airbnb.com/rooms/284210,Fitzroyalty - luscious living in the heart of it,Kate,"Melbourne, Victoria, Australia",t,Collingwood/Fitzroy,t,"Melbourne, VIC, Australia",Fitzroy,Yarra,Melbourne,VIC,3065,"Melbourne, Australia",AU,Australia,-37.79849702,144.9788285,Apartment,Entire home/apt,2,1,1,1,Real Bed,145,630,2500,250,2,25,4,130,437
93,307615,https://www.airbnb.com/rooms/307615,Queen BR + Private Bathroom in Huge CBD Apartment,Sharyn,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.80846796,144.9660613,Townhouse,Private room,2,2.5,1,1,Real Bed,75,550,1800,0,1,20,1,1125,225
94,307630,https://www.airbnb.com/rooms/307630,Queen-bed Room in Huge CBD Warehouse Apartment,Sharyn,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.80815473,144.9662051,Townhouse,Private room,2,2.5,1,1,Real Bed,75,550,1900,,1,25,1,1125,302
102,331605,https://www.airbnb.com/rooms/331605,3 Bedroom Apartment MT111,Dina,"Melbourne, Victoria, Australia",f,South Melbourne,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82348249,144.9617954,Serviced apartment,Entire home/apt,7,2,3,7,Real Bed,357,2400,9000,300,6,50,1,365,695
104,344458,https://www.airbnb.com/rooms/344458,St Kilda Gardens Executive Living,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87161036,144.9844774,Apartment,Entire home/apt,5,2,2,3,Real Bed,174,1351,4410,,4,20,3,1125,253
109,363278,https://www.airbnb.com/rooms/363278,Fitzroy: Tiny stone cottage,Alan,"Fitzroy, Victoria, Australia",t,Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80255658,144.9828065,Cottage,Private room,1,1,1,1,Real Bed,71,,,,1,0,1,1125,448
111,366848,https://www.airbnb.com/rooms/366848,Your Own Place in Central Melbourne,Trevor,"Melbourne, Victoria, Australia",f,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81132535,144.9727608,Apartment,Entire home/apt,2,1,1,1,Real Bed,129,750,2900,,2,20,6,1125,634
115,394600,https://www.airbnb.com/rooms/394600,"4/2 Pottery Court Brunswick, Melbourne",Julie,"Brunswick, Victoria, Australia",t,Brunswick,t,"Brunswick, VIC, Australia",Brunswick,Moreland,Brunswick,VIC,3056,"Brunswick, Australia",AU,Australia,-37.76910366,144.9530439,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,735,,,1,0,2,35,636
118,403580,https://www.airbnb.com/rooms/403580,Heritage Listed House Close To Park,Anthony,"Carlton, Victoria, Australia",t,Carlton,t,"Carlton, VIC, Australia",Carlton,Melbourne,Carlton,VIC,3053,"Carlton, Australia",AU,Australia,-37.7997332,144.9718817,House,Private room,2,1,1,1,Real Bed,86,560,2252,0,1,25,3,90,317
121,411059,https://www.airbnb.com/rooms/411059,Classic and Contemporary Apartment on Collins St,Sunny,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.8164468,144.9605546,Apartment,Entire home/apt,2,1,1,1,Real Bed,132,895,3763,180,2,25,2,21,647
122,414093,https://www.airbnb.com/rooms/414093,Penthouse St Kilda Style,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87052183,144.9796402,Apartment,Entire home/apt,7,2,3,4,Real Bed,246,1967,5931,150,6,20,3,1125,505
123,415776,https://www.airbnb.com/rooms/415776,Expansive City Views POOL SPA GYM!!,Kate,"Melbourne, Victoria, Australia",f,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Stonnington,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83789697,144.9969566,Apartment,Private room,2,1,1,1,Real Bed,82,500,800,0,1,10,1,60,476
125,432113,https://www.airbnb.com/rooms/432113,Split Level City Centre Apartment + free parking,Marian And Alan,"Marcoola, Queensland, Australia",f,Southbank,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82690136,144.9680543,Apartment,Entire home/apt,6,2,3,3,Real Bed,150,1300,5300,250,2,20,6,730,536
130,448006,https://www.airbnb.com/rooms/448006,Smart Modern St Kilda,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87147967,144.9845395,Apartment,Entire home/apt,5,2,2,3,Real Bed,174,1421,4715,,4,20,3,1125,435
131,448017,https://www.airbnb.com/rooms/448017,Garden Views On Herbert,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87127524,144.9842296,Apartment,Entire home/apt,5,1,2,3,Real Bed,174,1246,4258,,4,20,3,1125,494
132,448041,https://www.airbnb.com/rooms/448041,St Kilda Garden Views,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87133341,144.982704,Apartment,Entire home/apt,5,2,2,3,Real Bed,174,1351,4410,,4,20,3,1125,272
136,458168,https://www.airbnb.com/rooms/458168,Smart Modern in St Kilda,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87273774,144.9830598,Apartment,Entire home/apt,5,2,2,3,Real Bed,174,1351,4410,,4,20,3,1125,411
142,467028,https://www.airbnb.com/rooms/467028,Carlton Victoria / own bathroom,Lucy,"Melbourne, Victoria, Australia",f,Carlton,t,"Carlton, VIC, Australia",Carlton,Melbourne,Carlton,VIC,3053,"Carlton, Australia",AU,Australia,-37.80125335,144.9574716,House,Private room,2,1,1,1,Real Bed,96,,2400,150,1,15,2,60,403
150,488819,https://www.airbnb.com/rooms/488819,Brunswick St at your doorstep,Dave,"Melbourne, Victoria, Australia",f,,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80306275,144.9767032,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,999,3900,200,1,0,4,30,354
154,496502,https://www.airbnb.com/rooms/496502,Budget-friendly double room,Airdrie,"Melbourne, Victoria, Australia",f,Brunswick,t,"Coburg, VIC, Australia",Brunswick,Moreland,Coburg,VIC,3058,"Coburg, Australia",AU,Australia,-37.75570943,144.9717271,House,Private room,2,1,1,1,Real Bed,30,240,,0,1,10,2,14,446
155,501143,https://www.airbnb.com/rooms/501143,Beautiful Little House In St. Kilda,Lisa-Marie,"Melbourne, Victoria, Australia",f,,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.86569151,144.9788001,House,Private room,2,1,1,1,Real Bed,120,410,1750,,1,20,2,365,319
163,519819,https://www.airbnb.com/rooms/519819,Funky Paris end of Collins Street apartment,Alan,"Melbourne, Victoria, Australia",f,,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81456086,144.9740027,Apartment,Entire home/apt,5,1,2,3,Real Bed,168,1176,4180,700,2,25,2,59,374
171,535813,https://www.airbnb.com/rooms/535813,Smart Artz Gallery - Venue Hire,Sharon,"South Melbourne, Victoria, Australia",f,,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,,"Melbourne, Australia",AU,Australia,-37.81408274,144.9693336,Other,Private room,16,,1,1,Real Bed,1650,,,,1,0,1,1125,295
172,542188,https://www.airbnb.com/rooms/542188,Oberon Stylish Art Deco,Barbara,"Melbourne, Victoria, Australia",f,Balaclava/Ripponlea,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87211941,144.9831294,Apartment,Entire home/apt,5,1,2,3,Real Bed,138,1299,6000,600,4,20,1,365,626
174,552797,https://www.airbnb.com/rooms/552797,Stylish Fitzroy Apartment with Cool Brick Arches,Jess And Kristy,"Melbourne, Victoria, Australia",t,Collingwood/Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80453202,144.9779256,Apartment,Entire home/apt,2,1,1,1,Real Bed,109,,2000,131,1,0,2,180,668
175,554087,https://www.airbnb.com/rooms/554087,"Fabulous house, fabulous ST KILDA",Marjolein,"St Kilda West, Victoria, Australia",f,St Kilda,t,"St Kilda West, VIC, Australia",St Kilda,Port Phillip,St Kilda West,VIC,3182,"St Kilda West, Australia",AU,Australia,-37.85742092,144.9747802,House,Private room,2,1,1,1,Real Bed,125,1100,4000,0,2,0,2,14,495
176,556080,https://www.airbnb.com/rooms/556080,Fitzroy Terrace close to Gertrude S,Keren,"Melbourne, Victoria, Australia",t,Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80515791,144.9823125,House,Entire home/apt,4,2,2,3,Real Bed,245,1500,6000,300,1,0,2,21,652
177,557900,https://www.airbnb.com/rooms/557900,Look out over the CBD from a Boutique Flat,Rodger,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.8175183,144.9652275,Apartment,Entire home/apt,2,1,1,1,Real Bed,190,1400,5040,0,1,0,3,200,366
183,571502,https://www.airbnb.com/rooms/571502,Simple but clean and secure room in Carlton!,Medley,"Melbourne, Victoria, Australia",t,Carlton,t,"Carlton, VIC, Australia",Carlton,Melbourne,Carlton,VIC,3053,"Carlton, Australia",AU,Australia,-37.80685644,144.9667112,House,Private room,1,5,1,16,Real Bed,80,,,,1,15,3,30,312
184,591772,https://www.airbnb.com/rooms/591772,HEART of CBD - Location with Quality,Vivian,"Melbourne, Victoria, Australia",f,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81128309,144.9619753,Apartment,Private room,5,1,1,2,Real Bed,65,,,0,3,30,3,1125,312
185,592162,https://www.airbnb.com/rooms/592162,Right in the heart of the City!,Dean,"Melbourne, Victoria, Australia",f,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81688978,144.9537154,Apartment,Entire home/apt,2,1,1,1,Real Bed,161,,,,2,30,4,150,505
188,614259,https://www.airbnb.com/rooms/614259,Stylish South Yarra Apartment,Luxuria Property Group,"Melbourne, Victoria, Australia",t,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Stonnington,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83939535,144.9960706,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,,,200,2,0,3,1124,254
189,619328,https://www.airbnb.com/rooms/619328,Fitzroy - Queen room in great house,Keren,"Melbourne, Victoria, Australia",t,Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80604851,144.9807892,House,Private room,2,1,1,1,Real Bed,120,750,3500,250,1,0,2,30,628
190,619363,https://www.airbnb.com/rooms/619363,Fitzroy Terrace - Room for one or two guests,Keren,"Melbourne, Victoria, Australia",t,Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80444603,144.9805607,Townhouse,Private room,2,1,1,2,Real Bed,84,625,2500,200,1,50,2,30,496
192,624205,https://www.airbnb.com/rooms/624205,2 Bedroom Apartment MT267,Dina,"Melbourne, Victoria, Australia",f,South Melbourne,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82329968,144.9630325,Serviced apartment,Entire home/apt,5,1,2,3,Real Bed,230,1500,6000,300,4,50,3,365,457
197,639260,https://www.airbnb.com/rooms/639260,Fitzroy pad with secure Parking,Christopher,"Bondi, New South Wales, Australia",f,North Bondi,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80173343,144.975365,Apartment,Entire home/apt,4,1,2,3,Real Bed,161,1100,4100,500,2,10,2,60,549
198,641180,https://www.airbnb.com/rooms/641180,Cosy Inner City Studio Eco-Apartment,Anthony,"Brunswick, Victoria, Australia",t,Brunswick,t,"Melbourne, VIC, Australia",Brunswick,Moreland,Melbourne,VIC,3056,"Melbourne, Australia",AU,Australia,-37.77593462,144.9692759,Guesthouse,Entire home/apt,2,1,1,1,Real Bed,89,,,0,2,10,3,270,603
200,644223,https://www.airbnb.com/rooms/644223,"Sunny St Kilda, Art Deco, Wifi inc.",Beverley,"Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87044205,144.9889098,Apartment,Entire home/apt,4,1,3,3,Real Bed,120,800,3000,,3,10,2,30,552
201,648169,https://www.airbnb.com/rooms/648169,Artist Warehouse Apartment Fitzroy,Ryan,"Melbourne, Victoria, Australia",f,Collingwood/Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.79703497,144.9831112,Loft,Private room,2,1,0,1,Real Bed,90,,,0,1,0,3,10,575
202,651578,https://www.airbnb.com/rooms/651578,Artist's Home in South Yarra,Louise,"Melbourne, Victoria, Australia",f,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Melbourne,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83360018,144.9839886,Apartment,Private room,1,1,1,1,Real Bed,86,450,1500,,1,0,2,15,603
207,661004,https://www.airbnb.com/rooms/661004,Artist Warehouse Apartment Fitzroy,Ryan,"Melbourne, Victoria, Australia",f,Collingwood/Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.79688588,144.9813153,Apartment,Entire home/apt,4,1,2,2,Real Bed,180,1400,5600,500,1,0,3,20,463
210,668738,https://www.airbnb.com/rooms/668738,Stylish Modern Apt_St Kilda Beach,Susan,"Melbourne, Victoria, Australia",f,,t,"Melbourne, VIC, Australia",St Kilda,Port Phillip,Melbourne,VIC,3182,"Melbourne, Australia",AU,Australia,-37.85946175,144.9790531,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,,,,1,0,7,30,481
219,694376,https://www.airbnb.com/rooms/694376,Executive Bay Views St Kilda,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.85972937,144.9831624,Apartment,Entire home/apt,5,2,2,3,Real Bed,174,1295,54258,,4,20,3,1125,589
224,731330,https://www.airbnb.com/rooms/731330,BREATHTAKING VIEWS - FULLY FURNISHE,Bill,"Malvern East, Victoria, Australia",f,Malvern East,t,"St Kilda West, VIC, Australia",St Kilda,Port Phillip,St Kilda West,VIC,3182,"St Kilda West, Australia",AU,Australia,-37.86025479,144.9712221,Apartment,Entire home/apt,2,1,1,1,Real Bed,119,700,2500,250,1,0,2,365,503
225,739896,https://www.airbnb.com/rooms/739896,3 Level Apartment with Rooftop!,Phil,"Melbourne, Victoria, Australia",f,Brunswick,t,"Brunswick East, VIC, Australia",Brunswick,Moreland,Brunswick East,VIC,3057,"Brunswick East, Australia",AU,Australia,-37.77155778,144.974612,Apartment,Entire home/apt,4,2,2,2,Real Bed,300,,,,1,0,2,14,479
226,752666,https://www.airbnb.com/rooms/752666,"Art filled, 2 Bedroom Apartment in Melbourne CBD",Quan,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.80991844,144.9582665,Apartment,Entire home/apt,4,1,2,2,Real Bed,84,,,200,2,0,2,1125,635
227,754134,https://www.airbnb.com/rooms/754134,Funky Flinders Lane Apartment  Melbourne CBD,Kim,"Torquay, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81597542,144.967139,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,,,0,2,0,4,90,249
231,768096,https://www.airbnb.com/rooms/768096,Immaculate  and Spacious Apartment,David,"Melbourne, Victoria, Australia",t,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Melbourne,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.8339788,144.9837232,Apartment,Entire home/apt,4,2,2,2,Real Bed,199,1200,4500,0,2,30,10,120,554
234,780441,https://www.airbnb.com/rooms/780441,Prized Parkside Modern City Studio-suit Long Stays,Bernadette,"Melbourne, Victoria, Australia",f,Carlton,t,"Carlton, VIC, Australia",Carlton,Melbourne,Carlton,VIC,3053,"Carlton, Australia",AU,Australia,-37.80536506,144.969482,Apartment,Entire home/apt,2,1,1,1,Real Bed,83,900,3200,300,2,0,21,1125,286
237,788420,https://www.airbnb.com/rooms/788420,Room 101S in the heart of Melbourne,Dina,"Melbourne, Victoria, Australia",f,South Melbourne,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82541968,144.961336,Apartment,Private room,2,1,1,2,Real Bed,84,1500,6000,300,6,50,1,1125,564
239,802320,https://www.airbnb.com/rooms/802320,A Resort in the City - Southbank,Pauline,"Victoria, Australia",t,Southbank,t,"Melbourne, VIC, Australia",Southbank,Melbourne,Melbourne,VIC,3006,"Melbourne, Australia",AU,Australia,-37.82391525,144.9672118,Apartment,Entire home/apt,6,1,2,2,Real Bed,161,,,150,4,25,3,200,420
242,809366,https://www.airbnb.com/rooms/809366,Hip Central CBD 1br Apt w/roof pool LONSDALE ST,Miranda,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.80924162,144.9676583,Apartment,Entire home/apt,3,1,1,2,Real Bed,120,,,500,2,30,2,1125,697
243,817054,https://www.airbnb.com/rooms/817054,SouthYarra Designers Delight (2br),Alex,"South Yarra, Victoria, Australia",f,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Stonnington,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.8358323,144.9930928,Apartment,Entire home/apt,5,1,2,3,Real Bed,150,945,3585,199,4,29,5,200,474
245,817457,https://www.airbnb.com/rooms/817457,"Royal Stays 2Bdr ""Breathtaking"" Apt (RS2407)",Royal Stays,"Melbourne, Victoria, Australia",f,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.80716294,144.967759,Apartment,Entire home/apt,5,1,2,2,Real Bed,226,1350,4500,500,4,25,1,1125,217
249,827095,https://www.airbnb.com/rooms/827095,Apartment - Heart of Melbourne,Richard,"Melbourne, Victoria, Australia",t,Southbank,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82655153,144.9668429,Apartment,Entire home/apt,2,1,1,1,Real Bed,109,,,150,1,20,2,365,318
253,835730,https://www.airbnb.com/rooms/835730,Lovely pad in funky Brunswick,Sarah & Mike,"Preston, Victoria, Australia",t,Brunswick,t,"Brunswick, VIC, Australia",Brunswick,Moreland,Brunswick,VIC,3056,"Brunswick, Australia",AU,Australia,-37.75707227,144.9699981,Bungalow,Entire home/apt,4,1,2,2,Real Bed,140,410,1600,350,1,0,4,1125,371
256,849118,https://www.airbnb.com/rooms/849118,3 bedroom Apartment MT101,Dina,"Melbourne, Victoria, Australia",f,South Melbourne,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82461425,144.9612158,Apartment,Entire home/apt,7,2,3,6,Real Bed,357,2500,9000,300,6,50,1,1125,654
257,850845,https://www.airbnb.com/rooms/850845,Stylish/Central/RoofTrce/long stay,Kirk & Lyn,all over the place-we are FREE,f,St Kilda,t,"Melbourne, VIC, Australia",St Kilda,Port Phillip,Melbourne,VIC,3182,"Melbourne, Australia",AU,Australia,-37.86703998,144.9831486,Apartment,Entire home/apt,2,1,1,1,Real Bed,109,,,500,1,0,30,365,634
259,856570,https://www.airbnb.com/rooms/856570,Position Perfect - The Courtyard,Danielle & Ruth,"Melbourne, Victoria, Australia",t,Richmond,t,"Brunswick, VIC, Australia",Brunswick,Moreland,Brunswick,VIC,3056,"Brunswick, Australia",AU,Australia,-37.76734591,144.9679907,Condominium,Entire home/apt,3,1,1,2,Real Bed,161,1030,3400,250,2,15,3,1125,392
260,856573,https://www.airbnb.com/rooms/856573,Position Perfect - The Dome,Danielle & Ruth,"Melbourne, Victoria, Australia",t,Richmond,t,"Brunswick, VIC, Australia",Brunswick,Moreland,Brunswick,VIC,3056,"Brunswick, Australia",AU,Australia,-37.76598764,144.9699585,Condominium,Entire home/apt,5,1,2,4,Real Bed,215,1350,4590,500,4,15,3,1125,374
261,861920,https://www.airbnb.com/rooms/861920,Position Perfect - City Views,Danielle & Ruth,"Melbourne, Victoria, Australia",t,Richmond,t,"Brunswick, VIC, Australia",Brunswick,Moreland,Brunswick,VIC,3056,"Brunswick, Australia",AU,Australia,-37.76592158,144.9700415,Condominium,Entire home/apt,5,2,2,4,Real Bed,215,1350,4590,500,4,15,3,1125,545
262,862000,https://www.airbnb.com/rooms/862000,Position Perfect The Loft Brunswick,Danielle & Ruth,"Melbourne, Victoria, Australia",t,Richmond,t,"Brunswick, VIC, Australia",Brunswick,Moreland,Brunswick,VIC,3056,"Brunswick, Australia",AU,Australia,-37.7656033,144.9680168,Condominium,Entire home/apt,5,2,2,4,Real Bed,210,1240,3950,500,4,15,3,1125,318
263,862199,https://www.airbnb.com/rooms/862199,Great location CBD 1BR home,Y.Y.,"Melbourne, Victoria, Australia",f,Carlton,t,"Carlton, VIC, Australia",Carlton,Melbourne,Carlton,VIC,3053,"Carlton, Australia",AU,Australia,-37.8054366,144.962472,Apartment,Entire home/apt,2,1,1,2,Real Bed,100,720,2500,400,1,15,4,150,241
264,863143,https://www.airbnb.com/rooms/863143,"Stavroula's City Pad,  Central Melb",Stavroula,"Ellendale, Tasmania, Australia",t,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.86070459,144.9751055,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,900,3255,,2,10,3,120,550
268,870066,https://www.airbnb.com/rooms/870066,Resort style stay in the City,Elena & Michael,"Melbourne, Victoria, Australia",f,Southbank,t,"Melbourne, VIC, Australia",Southbank,Melbourne,Melbourne,VIC,3006,"Melbourne, Australia",AU,Australia,-37.82606678,144.9689518,Apartment,Entire home/apt,5,1,2,5,Real Bed,150,950,3600,150,1,0,190,730,592
274,874165,https://www.airbnb.com/rooms/874165,St Kilda Glam Parkside 2BR APT+PARKING+WIFI+AC,Frank & Vince,"Melbourne, Victoria, Australia",t,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.85894839,144.9802579,Apartment,Entire home/apt,4,1,2,2,Real Bed,179,1743,5572,500,2,28,3,28,579
281,890726,https://www.airbnb.com/rooms/890726,St Kilda Beach Acland St Studio,Kristina,"Saint Kilda, Victoria, Australia",t,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.86293491,144.9729914,Apartment,Entire home/apt,2,1,0,1,Real Bed,84,803,2460,300,2,30,3,1125,372
284,905969,https://www.airbnb.com/rooms/905969,"Explore Fitzroy from Delightful, Light House",Katrina,"Melbourne, Victoria, Australia",t,Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80357665,144.9816107,House,Entire home/apt,7,1.5,2,4,Real Bed,251,1670,,500,2,20,2,1000,421
285,906586,https://www.airbnb.com/rooms/906586,Top views.3BR/2BTH Sub-penthse nrCasino+wifi+carpk,Jason,"Melbourne, Victoria, Australia",t,Southbank,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82412507,144.9630578,Apartment,Entire home/apt,8,2,3,5,Real Bed,320,2600,8000,300,6,50,2,1125,601
286,907354,https://www.airbnb.com/rooms/907354,My Loft Room South Yarra    Botanic Gardens,Milo,"Melbourne, Victoria, Australia",t,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Melbourne,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83763683,144.9798704,House,Private room,2,1,1,1,Real Bed,84,,,0,2,0,7,60,402
287,908963,https://www.airbnb.com/rooms/908963,My Studio Room South Yarra Botanic Gardens,Milo,"Melbourne, Victoria, Australia",t,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Melbourne,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83609808,144.9777972,House,Private room,2,1,1,1,Real Bed,84,,,0,2,0,7,60,622
