,id,listing_url,name,host_name,host_location,host_is_superhost,host_neighborhood,host_has_profile_pic,street,neighborhood,city,suburb,state,zipcode,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,avg_rainfall
880,2660624,https://www.airbnb.com/rooms/2660624,Room with own bathroom available Inner City!!,Maria,"Melbourne, Victoria, Australia",f,Albert Park,t,"Melbourne, Vic, Australia",South Yarra,Port Phillip,Melbourne,Vic,3004,"Melbourne, Australia",AU,Australia,-37.84073508,144.9769256,Apartment,Private room,2,2,1,1,Real Bed,90,,,2000,2,0,2,21,290
887,2689275,https://www.airbnb.com/rooms/2689275,Queen Room in beautiful part of South Yarra,Patrick,"Victoria, Australia",f,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Melbourne,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83801213,144.9796736,House,Private room,2,1,1,1,Real Bed,87,,,0,1,10,1,1125,263
892,2703431,https://www.airbnb.com/rooms/2703431,Perfectly located in the heart of Melbourne City,Andrew & Jessica,"Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,Victoria,3000,"Melbourne, Australia",AU,Australia,-37.81544041,144.9676715,Apartment,Entire home/apt,4,1,2,4,Real Bed,190,1500,5800,400,1,0,2,1125,382
893,2704378,https://www.airbnb.com/rooms/2704378,Centrally located cosy apartment with cat,Cindy,"Brunswick, Victoria, Australia",f,Brunswick,t,"Brunswick, VIC, Australia",Brunswick,Moreland,Brunswick,Victoria,3056,"Brunswick, Australia",AU,Australia,-37.77348002,144.9591256,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,,,0,2,50,3,1125,624
895,2717315,https://www.airbnb.com/rooms/2717315,"Cute, cozy and super central",Mickie,"Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.86590617,144.9854612,Apartment,Entire home/apt,2,1,1,1,Real Bed,84,542,1594,,1,0,4,1125,595
898,2723327,https://www.airbnb.com/rooms/2723327,Royal Stays 1 Bdr Apt Near Crown (RS2501),Royal Stays,"Melbourne, Victoria, Australia",f,Central Business District,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82826211,144.9575321,Apartment,Entire home/apt,2,1,1,1,Real Bed,145,800,3000,300,1,0,1,1125,251
902,2740158,https://www.airbnb.com/rooms/2740158,Your own luxury St Kilda apartment,Kaz,"Melbourne, Victoria, Australia",t,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.86219656,144.9884075,Apartment,Entire home/apt,2,1,1,1,Real Bed,96,560,2050,200,2,0,20,1125,327
905,2751318,https://www.airbnb.com/rooms/2751318,12PM Check out @ Spencer Street,Gerald,"Melbourne, Victoria, Australia",f,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81248943,144.9516059,Apartment,Entire home/apt,2,1,1,1,Real Bed,119,850,2990,350,1,0,3,60,398
906,2756297,https://www.airbnb.com/rooms/2756297,Spacious 3 Storey + Parking & WiFi,Nick,"Melbourne, Victoria, Australia",f,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Stonnington,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83694379,144.9970804,House,Entire home/apt,6,2.5,3,4,Real Bed,249,1349,4199,250,4,25,3,1125,447
911,2764773,https://www.airbnb.com/rooms/2764773,Contemporary Condo with a Private Courtyard,Sandra,"Northcote, Victoria, Australia",t,Northcote,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81083016,144.9568113,Apartment,Entire home/apt,5,1,3,4,Real Bed,197,1490,5590,300,3,45,2,60,695
913,2774297,https://www.airbnb.com/rooms/2774297,3 Bedroom CBD Apt City Views,Ping,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81450492,144.9526196,Apartment,Entire home/apt,9,2,3,7,Real Bed,999,,,600,4,40,2,1125,328
917,2795557,https://www.airbnb.com/rooms/2795557,Bay Views by the Yarra,Maxine,"Melbourne, Victoria, Australia",t,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Stonnington,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83720901,144.9945072,Apartment,Entire home/apt,2,1,1,1,Real Bed,94,900,3000,150,1,10,3,1125,307
918,2798239,https://www.airbnb.com/rooms/2798239,"Staycentral Melbourne CBD 2BR, 45th floor pool gym",Chris,"Melbourne, Victoria, Australia",t,St Kilda,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.80922087,144.9668348,Apartment,Entire home/apt,4,1,2,4,Real Bed,269,,,0,4,21,5,90,471
919,2803740,https://www.airbnb.com/rooms/2803740,Melbourne Star,Stay With Style,"Melbourne, Victoria, Australia",f,St Kilda,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81032177,144.9620001,Apartment,Entire home/apt,5,2,2,3,Real Bed,239,1520,5800,500,4,25,3,89,545
922,2831974,https://www.airbnb.com/rooms/2831974,Art Deco Apartment Close to Beach,Stephen,AU,f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.8642638,144.9783203,Apartment,Entire home/apt,4,1,2,2,Real Bed,107,700,2100,,1,0,5,60,288
925,2851333,https://www.airbnb.com/rooms/2851333,"Unique, Heritage, Location",Nicholas,"Melbourne, Victoria, Australia",f,Carlton,t,"Carlton, VIC, Australia",Carlton,Melbourne,Carlton,VIC,3053,"Carlton, Australia",AU,Australia,-37.80231203,144.9684636,Apartment,Entire home/apt,4,1,2,2,Real Bed,180,1100,3900,400,3,30,7,365,656
931,2878110,https://www.airbnb.com/rooms/2878110,Fabulous Fitzroy: central & vibrant,Kate,"Melbourne, Victoria, Australia",t,Collingwood/Fitzroy,t,"Melbourne, VIC, Australia",Fitzroy,Yarra,Melbourne,VIC,3065,"Melbourne, Australia",AU,Australia,-37.80324583,144.9753945,Apartment,Entire home/apt,2,1,1,1,Real Bed,96,900,4185,180,2,0,1,1125,319
933,2890297,https://www.airbnb.com/rooms/2890297,Skydeck,Harry,"Melbourne, Victoria, Australia",f,St Kilda,t,"Saint Kilda, VIC, Australia",St Kilda,Port Phillip,Saint Kilda,VIC,3182,"Saint Kilda, Australia",AU,Australia,-37.85646484,144.98095,Apartment,Entire home/apt,4,1,2,2,Real Bed,136,,,,2,20,2,30,294
940,2909989,https://www.airbnb.com/rooms/2909989,Close to CBD with Amazing view,Andi,"Melbourne, Victoria, Australia",t,Southbank,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82617175,144.965473,Apartment,Entire home/apt,4,1,1,2,Real Bed,129,800,3000,350,2,15,3,128,405
943,2927184,https://www.airbnb.com/rooms/2927184,Experience Collingwood living,Ieva,"Victoria, Australia",f,Collingwood/Fitzroy,t,"Collingwood, VIC, Australia",Fitzroy,Yarra,Collingwood,VIC,3066,"Collingwood, Australia",AU,Australia,-37.79396314,144.9824853,Apartment,Private room,2,1,1,1,Real Bed,71,800,,0,1,20,1,30,494
952,2969216,https://www.airbnb.com/rooms/2969216,Royal Stays 1Bdr City Apt near Casino (RS1106),Royal Stays,"Melbourne, Victoria, Australia",f,Central Business District,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,Victoria,3006,"Southbank, Australia",AU,Australia,-37.82615377,144.9592088,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,950,3400,500,2,25,1,1125,685
953,2970895,https://www.airbnb.com/rooms/2970895,"Melbourne CBD, Southbank, SB3207",Michelle,"Melbourne, Victoria, Australia",t,Southbank,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82375893,144.9612136,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,900,3500,300,2,0,2,26,535
955,2978846,https://www.airbnb.com/rooms/2978846,South Yarra Art Deco 2bdr Apartment,Edwina,"Melbourne, Victoria, Australia",f,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Melbourne,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83667368,144.9849783,Apartment,Entire home/apt,2,1,2,1,Real Bed,100,,,150,1,0,2,1125,652
957,2980110,https://www.airbnb.com/rooms/2980110,1BR in fantastic Southbank location,Jean-Luc,"Melbourne, Victoria, Australia",t,Southbank,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82819993,144.9596129,Apartment,Entire home/apt,4,1,1,2,Real Bed,140,945,3900,250,2,35,5,1125,693
962,2988851,https://www.airbnb.com/rooms/2988851,StayCentral Cityviews: 3 bds 2 bas gym pool Foxtel,Chris,"Melbourne, Victoria, Australia",t,St Kilda,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,Victoria,3006,"Southbank, Australia",AU,Australia,-37.82336919,144.9614442,Apartment,Entire home/apt,7,2,3,4,Real Bed,334,,,0,6,26,3,90,404
963,2998252,https://www.airbnb.com/rooms/2998252,Private Double Room in Melbourne CBD,Dene,"Melbourne, Victoria, Australia",f,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81350516,144.9541899,Apartment,Private room,1,1,1,1,Real Bed,46,390,1700,,1,0,5,14,544
965,2999904,https://www.airbnb.com/rooms/2999904,spacious+quiet - Fitzroy lane life,Nina,"Melbourne, Victoria, Australia",t,Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80366499,144.9826808,Townhouse,Private room,3,1.5,1,1,Real Bed,84,,,132,2,30,1,5,515
968,3008528,https://www.airbnb.com/rooms/3008528,Huge Art Deco Renovated with Stunning Balcony & Views.,Stuart,"Melbourne, Victoria, Australia",t,South Yarra,t,"Melbourne, VIC, Australia",South Yarra,Melbourne,Melbourne,VIC,3004,"Melbourne, Australia",AU,Australia,-37.8409709,144.9788898,Apartment,Entire home/apt,5,1,2,2,Real Bed,174,1200,4400,500,1,0,3,1125,632
973,3023045,https://www.airbnb.com/rooms/3023045,"Modern Ensuite, Heart of Brunswick",Netta,"Melbourne, Victoria, Australia",f,Brunswick,t,"Brunswick, VIC, Australia",Brunswick,Moreland,Brunswick,VIC,3056,"Brunswick, Australia",AU,Australia,-37.76998128,144.9633998,Apartment,Private room,2,1,1,1,Real Bed,60,350,,200,1,15,2,1125,292
974,3030853,https://www.airbnb.com/rooms/3030853,"Beautiful, Sunlit House in Little Italy",Katrina,"Melbourne, Victoria, Australia",t,Fitzroy,t,"Carlton, VIC, Australia",Carlton,Melbourne,Carlton,VIC,3053,"Carlton, Australia",AU,Australia,-37.79672539,144.9656638,House,Entire home/apt,5,2,2,3,Real Bed,251,1670,,500,2,20,3,1125,311
975,3042464,https://www.airbnb.com/rooms/3042464,Big Bright Room in St Kilda!,Sheilin,"Victoria, Australia",f,South Yarra,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.86194167,144.9873762,Apartment,Private room,2,1,1,1,Real Bed,80,382,1561,300,2,0,3,1125,474
976,3043855,https://www.airbnb.com/rooms/3043855,CBD Absolute Centre 3 b/r Heritage Apt,Vanessa,"Victoria, Australia",f,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,Victoria,3000,"Melbourne, Australia",AU,Australia,-37.81647659,144.959455,Condominium,Entire home/apt,7,2,3,5,Real Bed,300,,,250,6,50,3,1125,394
980,3048429,https://www.airbnb.com/rooms/3048429,FamilyFriendlyApt/Secure/Beach/wifi,Claire,Singapore,t,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.86038873,144.9803088,Apartment,Entire home/apt,5,2,2,3,Real Bed,220,1400,4500,250,5,50,3,1125,387
993,3095962,https://www.airbnb.com/rooms/3095962,Light filled riverside art deco,Tzung & Melinda,"Richmond, Victoria, Australia",t,,t,"South Yarra, VIC, Australia",South Yarra,Stonnington,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83480956,144.9916333,Apartment,Entire home/apt,2,1,1,1,Real Bed,147,,3500,200,1,0,2,180,354
996,3105381,https://www.airbnb.com/rooms/3105381,Luxury Apartment near Queen Victoria Market,Rodger,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81107269,144.9569119,Apartment,Entire home/apt,4,2,2,3,Real Bed,289,2100,7500,0,2,50,3,240,361
997,3105791,https://www.airbnb.com/rooms/3105791,"Botanical Gardens, Great Location",Nicole,"Victoria, Australia",f,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Melbourne,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83495546,144.9844691,Apartment,Entire home/apt,2,1,1,1,Real Bed,109,850,2900,,1,0,2,1125,672
998,3108800,https://www.airbnb.com/rooms/3108800,Melbourne by Royal Botanical Garden,Vern,"Wantirna South, Victoria, Australia",f,Southbank,t,"South Melbourne, VIC, Australia",Southbank,Melbourne,South Melbourne,VIC,3205,"South Melbourne, Australia",AU,Australia,-37.8294737,144.9694978,Apartment,Entire home/apt,4,1,1,2,Real Bed,165,1288,3988,150,2,75,2,365,584
